,Gender,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Salary
2322,0,74.5,2006,79.5,2,70.1,1,2010,465,315,325,0.450876584,0.2009,-2.3073,0.3817,-0.6428,-0.1295,1,0,0,0,150000
2323,1,67.8,2006,74,2,70.4,0,2011,565,585,565,0.884122512,-1.6538,0.8128,1.688,-0.1727,0.9763,1,0,0,0,305000
2324,1,74,2006,74,2,73,0,2010,465,415,305,0.450876584,0.6646,0.8128,0.2366,0.6498,0.5024,1,0,0,0,200000
2325,1,80.5,2010,81.5,2,80,0,2015,440,625,510,0.952245573,-1.1644,0.3789,0.4711,2.301,0.6721,1,0,0,0,280000
2326,0,79,2010,71,2,79,0,2014,580,580,575,0.486747008,1.2772,1.5444,1.2396,-1.5021,-0.6692,1,0,0,0,300000
2327,1,73,2008,74,2,73.36,0,2012,595,475,404,0.735795709,-0.6491,-0.4353,0.2366,-0.1727,-0.6035,1,0,0,0,405000
2328,0,85,2010,77.8,2,71.42,0,2014,395,605,340,0.450876584,-0.3027,0.5454,-1.2196,1.6672,0.0973,1,0,0,0,250000
2329,1,81,2010,67.2,2,67.3,1,2014,685,625,635,0.842248322,0.8463,-0.2871,-0.4511,-1.7556,-0.6692,1,0,0,0,275000
2330,1,57.78,2005,45.5,2,67,1,2011,455,445,544,0.765673581,0.0464,-0.2793,0.0914,-1.1128,-0.1295,0,0,0,1,430000
2331,1,78.4,2007,75.2,2,65.15,1,2012,465,485,590,0.910770164,-0.1855,-0.2793,1.2525,0.7086,0.1864,1,0,0,0,200000
2332,0,67,2009,61.2,2,74,0,2014,490,520,355,0.704090412,1.4208,0.0459,2.1617,-2.136,1.247,1,0,0,0,225000
2333,1,56.2,2008,70,1,73.25,1,2012,500,440,455,0.694479328,0.99,-0.7866,0.1637,1.0333,0.2889,1,0,0,0,200000
2334,0,67,2010,63.33,2,65.18,0,2014,420,470,440,0.493596387,0.2718,1.0449,0.7785,-1.2486,-0.4776,1,0,0,0,185000
2335,1,90,2009,84,2,84,0,2013,630,520,570,0.88162007,-0.3027,0.5454,-0.7585,0.0192,-0.2859,1,0,0,0,185000
2336,1,74.8,2009,70.5,2,70.2,0,2014,590,545,575,0.842248322,1.2772,1.3779,0.6248,-0.3612,0.4805,1,0,0,0,325000
2337,1,83,2010,72,2,75,1,2014,510,535,500,0.23780284,-0.5899,0.7119,0.3174,-1.1218,0.0973,1,0,0,0,315000
2339,1,61.5,2008,64.4,2,65.64,0,2012,405,475,515,0.952245573,-1.6538,-0.5913,-0.4891,0.2973,-0.9194,1,0,0,0,280000
2340,1,90,2011,88.3,2,70.1,0,2015,430,505,575,0.436962648,-0.159,0.2124,0.3174,0.5262,-0.2859,1,0,0,0,325000
2341,1,87,2009,88,2,66,0,2013,545,555,575,0.735795709,-0.8772,-0.4536,-1.527,-0.1076,0.0973,1,0,0,0,200000
2342,1,72,2005,70,2,61.7,0,2012,685,525,605,0.538386893,0.626,0.9688,-1.7954,1.1492,-0.2875,1,0,0,0,400000
2343,1,72,2006,70,2,72,0,2011,455,575,445,0.600057182,0.0464,0.5008,0.2366,-0.7603,-0.2875,1,0,0,0,200000
2344,1,72.6,2007,66.6,2,60,0,2011,535,525,535,0.229481755,-0.4173,-1.0593,0.0914,-1.49467,-0.6035,1,0,0,0,100000
2345,0,94.1,2007,95,2,80.2,0,2011,635,545,705,0.864685413,0.51,1.4368,-0.344,-0.2902,0.3444,1,0,0,0,300000
2346,0,58,2007,59,2,60.5,0,2011,425,435,365,0.0587928,0.51,0.3448,-0.6343,0.6498,0.8183,1,0,0,0,105000
2347,1,87,2009,93.9,2,74.13,1,2013,650,440,560,0.824666401,0.2718,0.2124,-0.7585,-0.7415,-2.0105,1,0,0,0,275000
2348,1,73,2010,62,2,75,0,2014,405,545,535,0.953899775,0.7027,-1.2861,-0.9122,-0.7415,-0.8608,1,0,0,0,145000
2349,1,74.16,2008,66,2,74.64,0,2014,500,570,465,0.744758354,1.2772,0.2124,0.3174,-1.3753,0.6721,1,0,0,0,75000
2350,1,81.4,2010,91.25,2,75,0,2014,395,390,280,0.336185066,-1.0208,-0.7866,-0.9122,0.0192,-2.7769,1,0,0,0,150000
2351,1,78,2009,65.8,2,73.5,0,2013,575,575,585,0.744758354,-1.9243,0.0328,-0.4891,1.67803,-0.6035,1,0,0,0,345000
2352,1,78.93,2008,65,2,67.63,0,2012,535,535,455,0.600057182,-0.2628,1.5538,0.5994,-0.29027,0.3444,1,0,0,0,355000
2353,1,78,2009,70,1,62,0,2014,555,645,635,0.336185066,1.1336,1.5444,1.8543,-1.7556,0.0973,1,0,0,0,325000
2354,1,78.4,2008,83,1,77,1,2012,375,595,585,0.994050872,-0.5332,-0.2793,-0.7794,1.4136,-0.6035,1,0,0,0,550000
2355,1,81.4,2009,82.8,2,73.5,0,2013,465,580,680,0.990008757,-0.8772,-1.1196,0.3174,1.0333,-0.0943,1,0,0,0,380000
2356,1,70.56,2009,57.58,2,58,0,2013,405,385,265,0.080055281,0.8463,-1.1196,-2.4491,0.653,-0.6692,1,0,0,0,150000
2357,1,81.2,2009,85.1,2,85.1,0,2013,590,610,590,0.824666401,-0.5719,0.0328,-0.8157,0.4148,-0.6035,1,0,0,0,370000
2358,1,65.2,2003,60.4,2,65,0,2010,455,485,645,0.765673581,0.2009,0.0328,1.2525,-0.8778,0.0284,1,0,0,0,420000
2359,0,82.2,2010,76,2,76.62,0,2014,450,450,365,0.356536488,1.8517,1.3779,0.01,-0.995,1.0554,1,0,0,0,180000
2362,1,77.7,2008,64.1,2,76.2,1,2012,475,385,405,0.377551419,-2.5811,-1.0593,-0.0537,1.11983,-0.2875,1,0,0,0,105000
2363,1,90,2008,79.1,2,75.45,0,2011,425,325,505,0.654107475,1.9011,0.8128,0.2366,-1.8179,-1.5513,1,0,0,0,440000
2364,1,82,2010,78,2,64,0,2014,395,495,575,0.991397584,-0.5719,-0.4353,-0.7794,-1.7004,-0.5245,1,0,0,0,265000
2365,0,82.26,2005,81.33,2,78.9,0,2010,515,575,525,0.824666401,1.1283,1.1248,1.2525,1.5899,1.1343,1,0,0,0,310000
2366,1,92.8,2010,91.83,2,70.9,0,2014,595,480,645,0.942116551,-0.3027,0.7119,0.01,-0.3612,0.0973,1,0,0,0,220000
2367,1,79,2010,79.4,2,68.58,0,2014,510,560,720,0.45901584,0.2718,-0.2871,-0.6048,1.1601,-1.6273,1,0,0,0,115000
2368,1,87.4,2010,90.2,1,76.1,1,2014,535,485,560,0.744758354,-0.3027,-0.4536,-0.4511,-0.2344,0.4805,1,0,0,0,350000
2369,1,62,2005,62,2,74,0,2010,525,615,605,0.635978756,0.0464,-0.4353,0.0914,0.1798,-0.4455,1,0,0,0,480000
2370,1,75,2008,62.8,2,64.7,0,2012,555,625,535,0.124502074,-0.2628,-1.2153,-1.5051,-0.8778,-0.6035,1,0,0,0,360000
2371,1,73.8,2009,68.8,2,75.14,1,2013,545,350,210,0.694479328,0.7027,-0.4536,0.7785,0.0192,-1.8189,1,0,0,0,300000
2372,1,88.6,2010,94.7,2,75.4,0,2014,465,570,520,0.911395278,1.5644,1.2114,-0.7585,-2.136,-1.4356,1,0,0,0,400000
2373,1,87.4,2009,83.4,2,73.8,0,2013,625,585,695,0.414337426,-0.3027,0.5454,0.4711,0.5262,0.8637,1,0,0,0,600000
2374,1,71.13,2009,66,2,77.7,1,2013,345,495,575,0.985461394,0.8463,0.0459,1.0859,0.2727,1.6302,1,0,0,0,120000
2375,1,65.66,2008,71.66,2,65,0,2013,570,510,470,0.694479328,1.1336,1.7109,0.3174,-2.2627,1.4386,1,0,0,0,180000
2376,0,85.6,2008,76.4,1,80.26,1,2013,660,645,695,0.901489571,1.1336,0.8784,0.7785,-0.2344,0.4805,1,0,0,0,375000
2377,1,80,2008,77,2,75,0,2013,545,555,765,0.824666401,-2.8879,-4.2831,-3.2176,-1.1218,-5.4595,1,0,0,0,335000
2378,0,77.8,2010,79.2,2,73.3,0,2014,405,525,415,0.649389715,0.2718,0.0459,-0.6048,-0.1076,0.0973,1,0,0,0,300000
2379,1,57,2008,63,2,61.02,0,2012,350,290,495,0.486747008,0.8463,-0.4536,-0.7585,-0.2344,1.0554,1,0,0,0,105000
2380,1,82,2007,53,2,71,0,2012,275,395,555,0.490636956,0.0464,-1.7223,-0.4891,-0.5253,-2.6572,1,0,0,0,320000
2381,1,85,2006,93.8,2,68.5,0,2010,615,385,645,0.165633092,-1.3025,-0.1374,0.672,0.1477,-0.2875,1,0,0,0,505000
2382,1,71.71,2004,74,1,63.6,0,2011,445,485,665,0.765673581,-1.6538,1.2808,-0.7794,-1.4653,-1.0774,1,0,0,0,400000
2384,0,88.57,2009,91,2,76.32,0,2013,650,695,705,0.901489571,-0.4173,-0.0842,-0.598,-0.7603,-0.6035,1,0,0,0,930000
2385,0,92.8,2009,74.6,2,76,0,2013,805,595,585,0.144789889,1.1336,0.8784,0.1637,-1.2486,0.0973,1,0,0,0,325000
2386,1,88.6,2008,88.93,2,69.12,0,2012,655,565,524,0.81941653,-2.1561,-0.2793,-1.0697,0.973,-0.7615,1,0,0,0,505000
2387,1,79.2,2009,76.6,1,70,1,2013,545,560,665,0.884122512,0.99,1.0449,0.1637,-0.8682,0.2889,1,0,0,0,330000
2388,1,86,2007,83.8,2,71.4,0,2011,445,675,655,0.992259189,0.51,0.6568,-1.6502,-0.2902,-0.7615,1,0,0,0,505000
2389,1,59.05,2006,46.33,2,65,0,2010,324,385,375,0.206710618,-2.4266,-1.3713,-1.7954,0.8848,-1.0774,1,0,0,0,180000
2390,1,86,2006,95,2,72,0,2010,355,405,585,0.229481755,0.0464,0.0328,-0.9245,-0.6428,-1.2354,1,0,0,0,530000
2391,0,85.2,2008,73.2,2,76.36,0,2013,695,500,750,0.983749967,0.8463,0.2124,-0.1437,-0.6147,0.8637,1,0,0,0,350000
2392,1,81,2008,83.6,2,79.9,1,2013,555,580,470,0.655766943,1.5644,1.3779,-0.1437,-1.5021,0.8637,1,0,0,0,240000
2393,1,83.8,2006,75.2,2,66.61,0,2010,525,395,575,0.694479328,-1.1901,0.1888,-0.7794,1.1199,-1.3934,1,0,0,0,650000
2394,1,89.4,2008,86.4,2,72.62,0,2012,485,445,595,0.229481755,0.51,0.1498,0.2729,1.8249,0.1864,1,0,0,0,345000
2395,0,85.6,2009,84.4,2,71.8,0,2014,755,425,605,0.899843844,-1.4517,-0.1206,-0.1437,-0.8682,-3.3518,1,0,0,0,400000
2396,1,83.4,2009,80.4,2,74.5,0,2013,570,495,405,0.783303537,-2.8879,-4.7826,-3.2176,-0.4879,-5.8428,1,0,0,0,240000
2397,1,63,2006,56,2,61.4,0,2011,445,445,515,0.124502074,0.0464,-1.0905,1.6484,0.219,1.0395,1,0,0,0,390000
2398,0,76,2009,88,2,72.72,0,2012,355,425,385,0.704090412,1.2828,0.8128,0.5269,-0.40777,0.5419,1,0,0,0,400000
2399,1,92.6,2009,91.6,1,79.74,1,2014,710,560,590,0.649389715,1.4208,1.2114,-0.2974,-1.6289,0.6721,1,0,0,0,325000
2400,1,89,2006,75,2,76.6,0,2011,545,445,625,0.376059587,0.6646,-0.7473,-1.5051,1.1199,-0.1295,1,0,0,0,490000
2401,1,80.33,2010,81,2,78.5,0,2014,385,595,440,0.88162007,-0.0154,0.5454,1.2396,-0.1076,-0.2859,1,0,0,0,310000
2402,1,52,2006,55,2,68,1,2010,345,455,335,0.24545566,-1.3447,-0.1232,0.2366,1.4724,0.1864,1,0,0,0,550000
2403,0,80,2009,90,2,79,1,2013,465,410,530,0.824666401,0.7027,0.7119,-3.3713,0.2727,0.4805,1,0,0,0,250000
2404,1,80,2009,80.6,2,71.9,0,2014,420,545,495,0.842248322,1.2772,0.0459,0.9322,-1.6289,0.8637,1,0,0,0,300000
2405,1,66,2008,64,2,68,0,2013,590,630,780,0.229481755,0.5591,0.8784,-0.7585,0.5262,-0.4776,1,0,0,0,350000
2406,1,79.66,2006,87,2,74.1,0,2010,525,475,505,0.304510914,-0.881,-0.6693,-0.7068,0.06223,-0.1295,1,0,0,0,300000
2407,1,89.39,2009,94.17,2,75.46,0,2013,500,645,665,0.661834476,-0.7335,0.2124,0.01,-0.3612,0.2889,1,0,0,0,210000
2409,1,77,2002,66,2,70,0,2009,335,355,295,0.793580615,0.0464,0.5008,-0.0537,-0.4078,0.6603,0,0,0,1,680000
2410,1,66.8,2006,56,2,52,1,2012,465,435,555,0.793580615,-0.1082,0.6568,0.0914,-1.1128,-0.6035,1,0,0,0,90000
2411,1,81.6,2009,81.8,2,65.2,1,2013,545,620,885,0.979521744,0.99,1.3779,-0.1437,-0.8682,1.247,1,0,0,0,390000
2412,1,86,2006,70,2,68.31,0,2010,375,365,465,0.755375121,0.9737,-1.5273,0.672,-0.0552,-1.2354,1,0,0,0,1000000
2415,1,73.2,2009,74.3,2,65,0,2013,475,495,415,0.765673581,1.2772,0.7119,-0.4511,-1.2486,-0.0943,1,0,0,0,220000
2416,0,78,2008,50,2,61,0,2012,375,425,315,0.377551419,0.6646,0.8128,-0.344,0.4148,-0.406,1,0,0,0,300000
2417,1,68.5,2010,64.5,2,70.3,1,2014,605,540,465,0.953899775,0.8463,0.5454,0.7785,-1.5021,-0.2859,1,0,0,0,305000
2418,1,72,2008,70,2,70,0,2012,420,470,430,0.744758354,1.9953,0.0459,-0.1437,0.5262,0.6721,1,0,0,0,140000
2419,1,95.54,2010,90,1,59,1,2014,465,610,530,0.255778194,-1.0208,-0.6201,0.6248,1.1601,-0.2859,1,0,0,0,345000
2420,0,90,2008,88.2,2,69,0,2012,485,535,475,0.563267824,-0.7264,-0.9033,-1.3599,-0.1727,-0.4455,1,0,0,0,105000
2421,0,75.4,2007,75.6,2,80.7,0,2011,625,515,535,0.635978756,0.3555,1.1248,0.672,0.5323,1.4502,1,0,0,0,240000
2422,1,58,2008,64,2,62,0,2012,475,485,365,0.10487136,0.3941,0.1888,1.2525,-0.349,-1.2354,1,0,0,0,130000
2423,0,85.6,2010,79.9,2,78,0,2014,350,460,345,0.1798739,-0.4463,-0.2871,0.3174,1.2869,-0.0943,1,0,0,0,100000
2424,1,88.5,2007,95.9,2,81.2,0,2011,475,505,605,0.916869961,-0.1082,0.1888,0.5269,-0.5253,0.0284,1,0,0,0,620000
2425,1,92.4,2008,83.6,1,80,1,2014,665,475,655,0.942116551,-0.7264,1.1248,-2.2308,-0.6428,0.8183,0,0,0,1,750000
2426,1,78,2008,77,2,83,1,2013,710,590,605,0.112139438,-0.7335,1.3779,0.6248,0.2727,-0.6692,1,0,0,0,265000
2427,1,78.5,2009,83,2,77.72,0,2013,350,470,405,0.20739217,1.7081,0.7119,0.6248,-1.3753,0.6721,1,0,0,0,200000
2429,1,87,2008,81,2,74.44,0,2012,635,635,735,0.916869961,0.3555,-0.7473,-0.4891,-0.9953,-0.8799,1,0,0,0,460000
2430,1,67,2008,62.8,2,70.9,0,2012,605,570,515,0.649389715,-0.3027,1.2114,-0.1437,0.653,-0.0943,1,0,0,0,400000
2431,1,55.3,2004,72,2,71,0,2014,520,545,705,0.911395278,0.4155,-0.6201,-0.4511,-0.995,-1.0524,1,0,0,0,135000
2432,1,50,2010,57,2,65.06,0,2014,395,425,425,0.744758354,0.4155,-0.6504,0.3034,0.653,-0.4392,1,0,0,0,120000
2433,1,75.4,2009,60.2,2,78.78,0,2013,535,415,705,0.916869961,-0.159,0.7119,1.547,-1.5021,-0.8608,1,0,0,0,400000
2434,1,70.14,2010,50,2,70,0,2014,700,570,475,0.842248322,0.1282,0.7119,0.01,0.0192,0.0973,1,0,0,0,85000
2436,1,72.8,2009,79.2,2,68.4,0,2013,325,545,460,0.493596387,-0.8772,0.3789,0.4711,0.1459,-0.0943,1,0,0,0,250000
2437,1,71,2008,73,2,69.2,0,2013,360,435,120,0.356536488,0.3941,-0.1232,-0.6343,1.0611,-0.1295,1,0,0,0,120000
2438,1,77,2008,75,2,62,0,2013,675,630,485,0.20739217,1.7081,0.5454,0.9322,-0.4879,0.8637,1,0,0,0,335000
2439,1,82,2008,81.9,2,80.2,0,2012,695,465,365,0.538386893,-1.3447,0.1498,1.3614,-0.1727,-0.1295,1,0,0,0,340000
2440,1,54,2006,64,2,67.3,0,2011,305,415,415,0.635978756,-0.1082,-0.7473,0.8171,-0.0552,-0.2875,1,0,0,0,300000
2441,0,83,2010,72,2,76,0,2014,525,530,405,0.338786347,-0.159,0.3789,-2.4491,-0.8682,0.2889,1,0,0,0,225000
2442,1,56,2008,75,2,71,0,2014,325,385,285,0.486747008,0.4155,0.3789,0.7785,-1.3753,1.247,0,0,0,1,60000
2443,1,80,2010,76,2,80.6,0,2014,735,555,535,0.328746379,-0.4463,-0.9531,0.1637,0.0192,-2.0105,1,0,0,0,110000
2444,1,75.4,2009,68.8,2,79,0,2014,440,565,430,0.356536488,1.7081,0.7119,1.2396,-1.8824,-0.2859,1,0,0,0,315000
2445,1,83,2009,81,2,65.21,1,2013,510,305,310,0.694479328,-1.0208,-0.6201,-0.1437,1.4136,-0.0943,1,0,0,0,105000
2446,0,87.23,2010,76.12,2,63.58,0,2014,405,485,605,0.338786347,1.2772,0.7119,0.1637,-0.995,0.4805,1,0,0,0,300000
2447,1,78.16,2007,84.28,2,62,0,2012,505,375,485,0.563267824,-0.1855,-0.7473,0.2366,2.4712,-1.7093,1,0,0,0,320000
2448,1,85.5,2006,81.1,2,72.44,0,2010,365,495,485,0.793580615,0.8192,-0.1232,-0.344,-1.1128,-0.7615,1,0,0,0,180000
2449,1,85,2010,82,2,81,0,2014,615,630,560,0.842248322,0.8463,0.3789,0.1637,-1.7556,-0.6692,1,0,0,0,440000
2450,1,87,2009,95,2,72.38,0,2013,525,625,690,0.976292561,-0.4463,-0.4536,-0.9122,-0.8682,-0.6692,1,0,0,0,345000
2451,1,85,2009,76,2,71,1,2013,570,520,430,0.81941653,1.5644,1.2114,0.6248,0.3995,0.8637,1,0,0,0,350000
2452,1,74,2010,50,2,65,1,2014,440,375,470,0.45901584,-0.4463,0.2124,0.3174,0.3995,-0.4776,1,0,0,0,215000
2453,1,70,2009,77.4,2,83,0,2014,335,505,595,0.953899775,0.2718,0.2124,-0.1437,-0.3612,0.2889,1,0,0,0,250000
2454,1,73.6,2010,75,2,87.56,0,2014,475,585,485,0.336185066,0.7027,1.7109,0.4711,-0.7415,1.0554,1,0,0,0,330000
2455,1,77.33,2008,88.5,2,73.14,0,2014,445,515,535,0.901489571,0.1623,-0.4353,-0.4891,-0.8778,-0.9194,0,0,1,0,340000
2456,1,83,2009,79.4,2,61,0,2014,465,495,560,0.163630927,-0.5899,-0.1206,0.4711,0.653,-1.244,1,0,0,0,200000
2457,1,73,2010,70.6,2,72,0,2014,570,520,470,0.328746379,-0.8772,0.8784,1.2396,0.2727,0.0973,1,0,0,0,180000
2458,1,61.8,2006,55.4,2,64.15,0,2012,455,394,435,0.600057182,-1.6538,-0.7863,-0.598,1.5899,0.8183,0,0,0,1,280000
2459,0,75,2008,71.8,2,75.5,0,2013,585,475,505,0.670743151,0.8192,0.2668,-0.2714,0.64983,-0.2875,1,0,0,0,325000
2460,1,86.2,2010,82.6,2,72.81,0,2014,730,610,620,0.783303537,1.1336,1.0449,0.6248,-1.5021,0.2889,1,0,0,0,315000
2461,1,83,2007,80,2,69.58,0,2013,325,470,570,0.843123727,0.1282,1.2114,0.01,-0.2344,0.2889,0,0,0,1,120000
2462,1,83,2009,80.8,2,70.24,0,2014,615,645,695,0.864685413,-0.159,-0.7866,-0.1437,0.1459,-1.0524,1,0,0,0,350000
2463,1,68,2004,59.2,2,92,1,2011,544,595,495,0.843123727,0.6646,1.7488,0.3817,-1.4653,-0.2875,1,0,0,0,455000
2464,1,64,2010,61,2,63,0,2014,455,505,465,0.884122512,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776,1,0,0,0,360000
2465,1,68.5,2007,85.2,2,73.4,0,2011,575,425,425,0.843123727,-1.1901,-2.1513,-0.1988,0.8848,-1.5513,1,0,0,0,290000
2466,0,91,2008,91,2,81,0,2012,375,405,385,0.694479328,0.0464,0.1498,-2.2308,-0.87777,0.0284,1,0,0,0,360000
2467,1,82.5,2010,95.7,2,72,1,2014,430,435,355,0.684565068,-0.3027,1.7109,1.547,0.9066,1.0554,1,0,0,0,230000
2468,1,74,2008,82.3,2,75.5,1,2012,435,615,525,0.952245573,0.51,0.1498,0.0552,1.7074,-0.1295,1,0,0,0,430000
2469,1,67,2008,76,2,58,0,2012,345,525,325,0.371138666,-1.8083,-1.9953,-1.2148,-0.26087,-3.1311,1,0,0,0,290000
2470,1,85,2007,79,2,66,0,2012,605,515,555,0.704090412,-1.3447,-0.1232,-2.2308,0.1798,0.0679,1,0,0,0,180000
2471,0,78,2008,75.85,2,73.9,0,2013,555,385,545,0.649389715,0.5591,0.5454,0.3174,-0.2344,0.0973,1,0,0,0,325000
2472,1,84,2010,81,2,73.3,0,2015,735,570,740,0.842248322,-1.5964,0.0875,2.5354,-0.5382,-0.5081,1,0,0,0,1000000
2473,1,94.4,2009,78.67,2,62,1,2013,745,555,455,0.493596387,-0.3027,-0.4536,-0.1437,-0.7415,-1.0524,1,0,0,0,240000
2474,0,85.38,2009,78,2,82.1,0,2013,580,420,655,0.486747008,-0.5899,0.5454,-0.6048,0.5262,0.0973,1,0,0,0,335000
2475,1,90,2009,92,2,76.4,1,2013,695,450,665,0.538386893,-0.4463,0.0459,-0.4511,0.5262,0.2889,1,0,0,0,705000
2476,1,77,2007,76,2,76.5,0,2010,445,445,385,0.985461394,-1.9629,-1.3713,-1.3599,-0.7603,-0.4455,1,0,0,0,500000
2477,0,86.5,2010,58.04,2,68,0,2014,360,370,390,0.338786347,1.2772,0.2124,-0.2974,-0.4879,0.6721,1,0,0,0,100000
2478,1,87,2010,91.8,2,74,0,2014,475,520,475,0.598280691,0.8463,0.8784,0.9322,-1.2486,0.8637,1,0,0,0,150000
2479,1,75.4,2009,65.2,2,76,0,2014,590,555,560,0.991230625,-1.308,-0.6201,0.1637,0.3995,-1.0524,1,0,0,0,450000
2480,0,89,2009,79,2,68,0,2013,535,495,485,0.525922584,0.4155,-0.4536,0.6248,1.0333,0.0973,1,0,0,0,170000
2481,1,76,2008,78,2,77.8,0,2012,575,455,525,0.86613982,-1.1901,-0.0842,-1.0334,-0.05527,-0.7615,1,0,0,0,325000
2482,1,73.6,2008,68.2,2,65.8,0,2012,640,595,535,0.605533552,0.1282,0.8784,0.3174,-1.1218,0.0973,1,0,0,0,300000
2483,1,87.33,2007,89,2,75.4,1,2011,525,415,475,0.81941653,0.8192,0.5008,0.8171,-0.4078,0.1864,1,0,0,0,560000
2484,0,81.6,2010,74.4,2,72,0,2014,545,410,430,0.649389715,1.4208,0.8784,0.6248,-1.1218,0.4805,1,0,0,0,300000
2485,1,74,2009,74,2,72,0,2013,345,570,455,0.450876584,-1.7389,-0.6201,-0.2974,-0.6147,-0.0943,1,0,0,0,240000
2486,1,81.2,2009,78,2,70,0,2013,485,525,310,0.843123727,-0.7651,-0.4353,-0.6343,0.8848,-0.9194,1,0,0,0,120000
2487,1,81.6,2010,77,2,66.46,1,2014,465,470,500,0.649389715,0.7027,0.2124,-0.4511,-0.1076,-0.2859,1,0,0,0,145000
2489,1,83.4,2006,77.4,1,70,0,2011,565,675,725,0.910770164,-0.5719,0.6568,0.8171,-0.8778,0.3444,1,0,0,0,510000
2490,1,85.6,2008,79.8,2,66.64,0,2013,570,640,900,0.960903087,-0.4463,0.0459,-0.1437,0.1459,0.0973,1,0,0,0,80000
2491,1,75.4,2007,74.7,2,63.1,0,2011,665,665,635,0.670743151,-0.2628,0.3448,0.3817,-1.1128,-1.0774,1,0,0,0,240000
2492,1,91.6,2010,85.6,1,72.7,1,2014,590,575,635,0.649389715,1.1336,0.5454,0.01,-2.0092,0.8637,1,0,0,0,340000
2493,1,87.6,2009,79.8,2,83.4,0,2013,710,655,840,0.538386893,-1.7389,-0.7866,1.0859,0.2727,-0.0943,1,0,0,0,1745000
2494,0,86.92,2011,76,2,72,0,2014,535,580,445,0.81941653,-1.1644,-0.4536,0.4711,-1.6289,0.8637,1,0,0,0,340000
2495,1,88.6,2010,83.25,2,86,0,2014,545,520,620,0.943272158,0.8463,0.3789,-0.2974,-0.8682,0.0973,1,0,0,0,325000
2496,0,69,2008,77,2,78,0,2012,435,565,495,0.694479328,0.9737,-0.2793,-1.9405,-0.0552,0.8973,1,0,0,0,180000
2498,1,78,2009,80.6,2,72.04,0,2013,405,435,590,0.538386893,1.0896,0.1888,0.3817,0.2679,-1.8673,1,0,0,0,240000
2499,1,75,2008,71.5,2,64,0,2013,615,555,355,0.115022726,1.5644,0.8784,0.4711,-1.5021,-2.0105,1,0,0,0,300000
2500,1,79.8,2010,76.8,2,72.18,0,2014,580,555,750,0.598280691,0.99,1.3779,1.2396,-0.3612,0.8637,1,0,0,0,145000
2501,1,86.5,2007,87.5,2,68,0,2012,305,395,445,0.824666401,-1.8083,-0.0842,0.2729,0.64983,0.5024,1,0,0,0,355000
2502,1,95.04,2008,87,2,86.5,0,2012,615,665,525,0.765673581,-0.5719,0.5008,-0.9245,-0.4078,0.1864,1,0,0,0,530000
2503,1,81,2012,73,2,61.6,0,2014,640,570,495,0.356536488,-0.4463,0.8784,0.4711,-2.136,0.6721,1,0,0,0,360000
2504,1,86.2,2008,91.33,2,84,1,2012,465,415,530,0.563267824,-2.272,-0.9033,-0.6343,0.4148,-1.4724,1,0,0,0,400000
2505,1,87,2011,80,2,84,0,2015,525,505,450,0.356536488,-0.0154,0.8784,1.2396,-2.0092,1.247,1,0,0,0,570000
2506,1,62,2007,67,2,67,0,2012,385,305,325,0.308400583,0.3555,0.8518,-0.2714,-0.99527,-0.4455,1,0,0,0,200000
2507,1,80,2008,91.4,2,80.5,1,2012,415,625,675,0.930370607,-0.881,-0.2012,-1.0334,1.3549,-0.2875,1,0,0,0,430000
2508,1,60,2006,54.66,2,75,0,2012,545,350,500,0.450876584,0.7027,0.3789,0.4711,-0.4879,-0.0943,1,0,0,0,130000
2510,1,72,2010,64,2,72,0,2015,490,410,485,0.450876584,1.1336,0.3789,-0.1437,-0.8682,-0.4776,0,0,0,1,150000
2511,0,81.3,2010,82.9,2,91,0,2014,685,670,720,0.911395278,0.8463,-0.2871,-0.1437,0.3995,0.0973,1,0,0,0,180000
2512,1,77,2007,66.8,2,78,0,2013,465,525,645,0.783303537,-0.5899,0.0459,-1.8344,1.0333,0.8637,1,0,0,0,325000
2513,1,87.2,2009,71,2,69.62,0,2013,395,570,635,0.842248322,0.2718,-0.1206,1.0859,-0.2344,0.8637,1,0,0,0,400000
2514,1,60.83,2006,70.4,2,70.38,0,2011,355,515,595,0.793580615,0.8192,0.6568,0.672,-0.1727,0.0284,1,0,0,0,600000
2515,0,95,2010,89,2,77,0,2014,595,545,690,0.999910408,0.5591,1.2114,-0.6048,-0.4879,1.6302,1,0,0,0,310000
2516,1,76.4,2010,73.8,2,75,0,2014,560,435,440,0.783303537,-2.0262,0.5454,-0.4511,0.653,-0.2859,1,0,0,0,305000
2517,1,68,2010,74,2,71.2,0,2014,570,570,530,0.598280691,0.7027,-0.2871,-0.2974,-0.7415,-0.6692,1,0,0,0,180000
2518,1,70.2,2005,55,2,87,0,2012,425,485,345,0.942116551,-0.7264,-1.0593,-1.0697,0.7673,-2.3017,0,0,0,1,310000
2519,0,74,2009,62,2,71,1,2013,465,450,295,0.538386893,-0.5899,-1.8855,-0.2974,1.1601,0.167,1,0,0,0,205000
